"id"	"v_num"	"v_filename"	"v_titleEnhanced_en"	"v_abstractEnhanced_en"	"v_abstractDocumentation_en"
"46"	"46"	"Patent Document 0002100079.zip"	"Catalyst preparation for oil product hydro-cleaning involves making mixture of natural alumina-silicate, granule preparation, thermal treatment and saturation with hydrolysing metal salts CATALYST PREPARATION OIL PRODUCT HYDRO CLEAN MIXTURE NATURAL ALUMINA SILICATE GRANULE THERMAL TREAT SATURATE HYDROLYSIS METAL SALT"	"Catalyst preparation involves making of the mixture of natural alumina-silicate, formation of granules and their thermal treatment and saturation with the hydrolysing metal salts. Natural alumina-silicate powder in the quantity of 30 % is mixed with the aluminium hydroxide. The mixture calcination is carried out at the temp of 200 to 700 °C. USE Catalyst is used in production of gasoline and diesel fuel. ADVANTAGE Production losses are reduced and the catalyst physico-mechanical characteristics such as strength and activity are improved."	"Catalyst preparation involves making of the mixture of natural alumina-silicate, formation of granules and their thermal treatment and saturation with the hydrolysing metal salts. Natural alumina-silicate powder in the quantity of 30 % is mixed with the aluminium hydroxide. The mixture calcination is carried out at the temp of 200 to 700 °C. USE Catalyst is used in production of gasoline and diesel fuel. ADVANTAGE Production losses are reduced and the catalyst physico-mechanical characteristics such as strength and activity are improved."
"47"	"47"	"Patent Document 0002100408.zip"	""	""	""
"48"	"48"	"Patent Document 0002102146.zip"	""	""	""
"49"	"49"	"Patent Document 0002103324.zip"	""	""	""
"50"	"50"	"Patent Document 0002108366.zip"	"Ebullated bed hydroprocessing of petroleum distillates by continuous hydroprocessing with hydrogen=contg. gas in an ebullated bed of particulate catalyst, fractionating into light and heavy fractions, and cooling EBULLATE BED HYDROPROCESSING PETROL DISTIL CONTINUOUS GAS PARTICLE CATALYST FRACTIONATE LIGHT HEAVY FRACTION COOLING"	"Hydroprocessing of a distillate hydrocarbon feedstock with a H-contg. gas in an ebullated bed of particulate catalyst at reaction temp. 650-950 deg.F and reaction pressure of 600-3000 psia and sepg. to yield an unreacted H-contg. gas and a liq. hydrocarbon reactor effluent is claimed. The method comprises: (a) heating the H-contg. gas to 800-1000 deg.F at a pressure of 600-3000 psia by first heat exchange with the unreacted H-contg. gas and second heat exchange in a fired heater and then flowing the gas to the ebullated bed; (b) heating the liq. hydrocarbon reactor effluent and fractionating to yield at least two fractions comprising: (i) a hydrotreated lighter prod. and (ii) a hot hydrotreated bottoms fraction; (c) heating the distillate hydrocarbon feedstock to 500-600 deg.F at press of 20-200 psia by heat exchange with the hydrotreated bottoms fraction to produce a cooled bottoms fraction and then flowing the feedstock to the ebullated bed; and (d) recycling the cooled bottoms fraction of (c) to (b) in an amt. proportional to the difference between the feedstock temp. and a selected temp. of 500-600 deg.F. USE/ADVANTAGE Used for hydroprocessing a petroleum distillate esp. in upgrading of heavy liq. hydrocarbons to prod. useful e.g. as gasoline fuels. Both high pressure heat exchange and the fired heater fuel consumption are reduced. Process is heat integrated between hydrotreating reaction and fractionation of the liq. hydrocarbon reactor effluent."	""
"51"	"51"	"Patent Document 0002109563.zip"	""	""	""
"52"	"52"	"Patent Document 0002111792.zip"	"Modification of catalysts for hydrogenation, dehydrogenation, hydrocracking, hydrorefining and oxidation of hydrocarbons, using thermo-desorbable reagents MODIFIED CATALYST HYDROGENATION DEHYDROGENATE HYDROCRACKING HYDROREFINING OXIDATION THERMO REAGENT"	"The method comprises treatment of catalysts with concurrently thermo-desorbed substances having acidity (pKa) and basicity (pKb) index within range 0-14, e.g. with formic acid, benzene, ammonia, pyridine, hydrogen peroxide or dimethylamine. USE In oil processing, petrochemical and chemical industry, as a method of modification of catalysts of hydrogenation, dehydrogenation, hydrocracking, hydrorefining and oxidation processes. ADVANTAGE The method increases activity of catalysts."	"The method comprises treatment of catalysts with concurrently thermo-desorbed substances having acidity (pKa) and basicity (pKb) index within range 0-14, e.g. with formic acid, benzene, ammonia, pyridine, hydrogen peroxide or dimethylamine. USE In oil processing, petrochemical and chemical industry, as a method of modification of catalysts of hydrogenation, dehydrogenation, hydrocracking, hydrorefining and oxidation processes. ADVANTAGE The method increases activity of catalysts. EMBODIMENT During contact with heterogeneous and homogeneous catalysts, hydrocarbons and oil products undergo chemosorption on said catalysts, forming thermo-desorbable and isothermally -desorbable molecules. Proposed modifiers also undergo chemosorption on modified catalysts, forming concurrently thermo-desorbable molecules. Tests show that in the processes of hydrorefining of diesel oil and hydrogenation of light gas oil, modifying of catalyst by proposed method results in reduction of sulphur content to 0.14% and 0.36%, compared to 0.27% and 0.47%, respectively, for non-modified catalysts."
"53"	"53"	"Patent Document 0002114897.zip"	"Hydrocarbon material hydrofining process HYDROCARBON MATERIAL HYDROFINING PROCESS Hydrocarbon material hydrofining process"	"Method consists in hydrofining of hydrocarbon raw material including in mixing gasoline preheated to 150-200 C with diesel fuel or vacuum gas oil preheated to 340-410 C, whereupon mixture is brought in contact with hydrogen- containing gas in presence of alumino-nickel(cobalt)molybdenum catalyst, percentage of gasoline in mixture being 2 to 50%. Method allows producing gasoline with no more than 0.04 wt % of sulfur or vacuum gas oil with no more than 0.35 wt % of sulfur, and prevents coking of catalyst bed and heating equipment. Petroleum processing. Enhanced process efficiency. 3 cl5 Method consists in hydrofining of hydrocarbon raw material including in mixing gasoline preheated to 150-200 C with diesel fuel or vacuum gas oil preheated to 340-410 C, whereupon mixture is brought in contact with hydrogen- containing gas in presence of alumino-nickel(cobalt)molybdenum catalyst, percentage of gasoline in mixture being 2 to 50%. Method allows producing gasoline with no more than 0.04 wt % of sulfur or vacuum gas oil with no more than 0.35 wt % of sulfur, and prevents coking of catalyst bed and heating equipment. Petroleum processing. Enhanced process efficiency. 3 cl5"	""
"54"	"54"	"Patent Document 0002129915.zip"	"Catalyst coated and/or impregnated with hydrocarbon e.g acid ester or alcohol used for e.g. hydrocracking or hydrotreating hydrocarbons CATALYST COATING IMPREGNATE HYDROCARBON ACID ESTER ALCOHOL HYDROCRACKING HYDROTREATING"	"Compsn. comprising a spontaneously combustible catalyst (coated and/or impregnated at least in part with at least one oxygen-contg. C12+ hydrocarbon) to reduce the catalysts self-heating characteristics. Also claimed is the method of reducing the catalysts self-heating characteristics by contacting it with at least one oxygen-contg. C12+ hydrocarbon. Also claimed is a process for prepg. a catalyst suitable for hydrotreating and/or hydrocracking a hydrocarbon stream, or tail gas treating a sulphur-contg. gas stream (comprising heating a pre-sulphurised catalytic compsn. to 200-500 deg.C in hydrogen to produce metal sulphide); or by contacting the stream with a sulphided catalyst (in hydrogen). Also claimed is a method to presulphurise the porous particles of a sulphidable catalyst contg. at least one metal oxide, and comprising: (a) contacting catalyst with sulphur at a temp. (or other conditions) causing at least a portion of the sulphur to incorporate into the pores of the catalyst either by vaporisation or melting; and (b) contacting catalyst particles with at least one oxygen-contg. C12+ (or C20+) hydrocarbon. Also claimed is a method of transporting a spontaneously combustible catalyst comprising contacting the catalyst with at least one oxygen-contg. C12+ hydrocarbon, placing the treated catalyst in a container and transporting the container. Also claimed is an unloading method for a reactor in operation comprising stopping operation, contacting the catalyst with at least one oxygen-contg. C12+ hydrocarbon and removing the oxygen-contg. hydrocarbon treated catalyst from the reactor. USE Reducing the self-heating characteristics of spontaneously combustible, sulphidable metal oxide-contg. catalysts, presulphurised catalysts and reduced catalysts, for their safe transportation and handling. ADVANTAGE Partially coated and/or impregnated catalysts have reduced self-heating characteristics when compared to uncoated forms. Improved presulphurisation process."	""
"55"	"55"	"Patent Document 0002140963.zip"	"Method of preparing low-sulfur diesel fuels METHOD PREPARATION LOW DIESEL FUEL Method of preparing low-sulfur diesel fuels"	"Diesel fractions are subjected to hydrorefining in the presence of number of catalysts containing 30-80 wt % of alumo-cobalt- molybdenum catalyst as upper layer and 20-70 wt % of alumo-nickel-molybdenum catalyst as lower layer, provided that activation of catalysts is carried out with disulfides in amount of kg per 1 kg of catalyst system wherein K is content to alumocobalt-molybdenum catalyst in pack, kg; H is content of alumo-nickel- molybdenum catalyst, in kg, followed by additional desulfurization of catalyst pack with stock at temperature of 330-340 C. Petrochemistry. Higher degree of hydrodesulfurization. 7 ex, 1 tbl Diesel fractions are subjected to hydrorefining in the presence of number of catalysts containing 30-80 wt % of alumo-cobalt- molybdenum catalyst as upper layer and 20-70 wt % of alumo-nickel-molybdenum catalyst as lower layer, provided that activation of catalysts is carried out with disulfides in amount of kg per 1 kg of catalyst system wherein K is content to alumocobalt-molybdenum catalyst in pack, kg; H is content of alumo-nickel- molybdenum catalyst, in kg, followed by additional desulfurization of catalyst pack with stock at temperature of 330-340 C. Petrochemistry. Higher degree of hydrodesulfurization. 7 ex, 1 tbl"	""
"56"	"56"	"Patent Document 0002141994.zip"	""	""	""
"57"	"57"	"Patent Document 0002147597.zip"	"Method of catalytically refining thermal process products METHOD CATALYST REFINE THERMAL PROCESS PRODUCT Method of catalytically refining thermal process products"	"Gasoline from delayed coking plant preheated to 350-400 C is fed into different reactor zones of vacuum gas oil catalytic cracking plant in amounts 1 to 10% of the weight of raw material and combined material comes into contact with 50 to 100 vol % of catalyst to give, after subsequent isolation, high-octane gasoline. The same coking plant gasoline can also be combined with straight-run diesel fuel in amounts 1 to 20 vol % for subsequent hydrofining of combined material in contact with catalyst containing oxides of molybdenum, nickel, and aluminum plus 1.02-4.08 wt % of silicon-tungsten complex SiO2.12WO3 to give, after isolation, stable low-sulfur diesel fuel and refined gasoline fraction that serves as component of raw material for catalytic reforming plant. Gas oil from delayed coking plant is combined with straight-run diesel fuel in amounts 1 to 30 vol % for subsequent hydrofining of combined material in contact with above-defined catalyst to give, after isolatio n, stable low-sulfur diesel fuel. Or perhaps, preheated to 350-400 C, above-named gas oil is fed into different reactor zones of vacuum gas oil catalytic cracking plant in amounts 1 to 40% of the weight of raw material and combined material comes into contact with 70 to 100 vol % of catalyst to give, after subsequent isolation, high- octane gasoline. Petroleum processing. New ways for production of high-octane gasoline and low-sulfur diesel fuel. 2 cl, 2 tbl, 6 ex Gasoline from delayed coking plant preheated to 350-400 C is fed into different reactor zones of vacuum gas oil catalytic cracking plant in amounts 1 to 10% of the weight of raw material and combined material comes into contact with 50 to 100 vol % of catalyst to give, after subsequent isolation, high-octane gasoline. The same coking plant gasoline can also be combined with straight-run diesel fuel in amounts 1 to 20 vol % for subsequent hydrofining of combined material in contact with catalyst containing oxides of molybdenum, nickel, and aluminum plus 1.02-4.08 wt % of silicon-tungsten complex SiO2.12WO3 to give, after isolation, stable low-sulfur diesel fuel and refined gasoline fraction that serves as component of raw material for catalytic reforming plant. Gas oil from delayed coking plant is combined with straight-run diesel fuel in amounts 1 to 30 vol % for subsequent hydrofining of combined material in contact with above-defined catalyst to give, after isolatio n, stable low-sulfur diesel fuel. Or perhaps, preheated to 350-400 C, above-named gas oil is fed into different reactor zones of vacuum gas oil catalytic cracking plant in amounts 1 to 40% of the weight of raw material and combined material comes into contact with 70 to 100 vol % of catalyst to give, after subsequent isolation, high- octane gasoline. Petroleum processing. New ways for production of high-octane gasoline and low-sulfur diesel fuel. 2 cl, 2 tbl, 6 ex"	""
"58"	"58"	"Patent Document 0002157399.zip"	"Hydrodesulphurisation of petroleum streams by contacting petroleum stream with hydrogen in a distillation column contg. hydrodesulphurisation catalyst HYDRODESULPHURISATION PETROL STREAM CONTACT HYDROGEN DISTIL COLUMN CONTAIN CATALYST"	""	""
"59"	"59"	"Patent Document 0002185242.zip"	""	""	""
"60"	"60"	"Patent Document 0002219221.zip"	""	""	""
"61"	"61"	"Patent Document 0002221838.zip"	"Diesel fuel production method, involves subjecting petroleum to primary distillation to isolate low- and high- boiling fractions boiling, hydrogenating and compounding with low-boiling fraction DIESEL FUEL PRODUCE METHOD SUBJECT PETROL PRIMARY DISTIL ISOLATE LOW HIGH BOILING FRACTION HYDROGENATION COMPOUND Diesel fuel production method, involves subjecting petroleum to primary distillation to isolate low- and high- boiling fractions boiling, hydrogenating and compounding with low-boiling fraction"	"Petroleum is subjected to primary distillation to isolate low- and high- boiling fractions boiling, respectively, within 120-270degreesC and 150-420degreesC temperature ranges. The latter is hydrogenated and the resulting hydrogenate is compounded with the low-boiling fraction at a weight ratio of 90:10-40:60 to give a final product, or it is subjected to rectification to isolate the fraction at 130-360degreesC and residue followed by compounding the fraction of 130-360degreesC with the low-boiling fraction at a weight ratio of 20:80-60:40. The level of sulfur in the diesel fuel is 0.035 wt % or less. Used in petroleum processing. The process gives a reduced sulfur level in the product. Petroleum is subjected to primary distillation to isolate low- and high- boiling fractions boiling, respectively, within 120-270°C and 150-420°C temperature ranges. The latter is hydrogenated and the resulting hydrogenate is compounded with the low-boiling fraction at a weight ratio of 90:10-40:60 to give a final product, or it is subjected to rectification to isolate the fraction at 130-360°C and residue followed by compounding the fraction of 130-360°C with the low-boiling fraction at a weight ratio of 20:80-60:40. The level of sulfur in the diesel fuel is 0.035 wt % or less. Used in petroleum processing. The process gives a reduced sulfur level in the product."	""
"62"	"62"	"Patent Document 0002225433.zip"	"Waxy petroleum fractions producing method, involves treating diesel fractions, distilling in hydrogen atmosphere and in presence of catalyst having crystalline-structure aluminosilicate compounds and hydrogenating components WAX PETROL FRACTION PRODUCE METHOD TREAT DIESEL DISTIL HYDROGEN ATMOSPHERE PRESENCE CATALYST CRYSTAL STRUCTURE ALUMINOSILICATE COMPOUND HYDROGENATION COMPONENT Waxy petroleum fractions producing method, involves treating diesel fractions, distilling in hydrogen atmosphere and in presence of catalyst having crystalline-structure aluminosilicate compounds and hydrogenating components"	"Waxy petroleum fractions are obtained by treating diesel fractions, atmospheric gas oil, or lube distillate in hydrogen atmosphere and in the presence of a catalyst containing crystalline-structure aluminosilicate compounds and hydrogenating components. The aluminosilicate compounds are zeolites beta, Y, and ZSM-5, and the hydrogenating components are introduced from their salt aqueous solutions with pH 2-6. Before introducing feedstock, the catalyst is activated in a hydrogen-containing gas flow at 300-400 degreesC for 3-6 hr and at hydrogen-containing gas flow rate at least 350 cu.m per hr per 1 t catalyst. The process is carried out at 240-380 degreesC, volumetric feedstock flow rate 1.0-2.0 per hr, ratio of hydrogen-containing gas to oil feedstock 400-1500 n cu.m/cu.m, and hydrogen pressure 3 MPa. In petroleum processing. The novel method enables processing of feedstock with a wide fraction composition and increased service cycle of catalyst. Waxy petroleum fractions are obtained by treating diesel fractions, atmospheric gas oil, or lube distillate in hydrogen atmosphere and in the presence of a catalyst containing crystalline-structure aluminosilicate compounds and hydrogenating components. The aluminosilicate compounds are zeolites beta, Y, and ZSM-5, and the hydrogenating components are introduced from their salt aqueous solutions with pH 2-6. Before introducing feedstock, the catalyst is activated in a hydrogen-containing gas flow at 300-400°C for 3-6 hr and at hydrogen-containing gas flow rate at least 350 cu.m per hr per 1 t catalyst. The process is carried out at 240-380°C, volumetric feedstock flow rate 1.0-2.0 per hr, ratio of hydrogen-containing gas to oil feedstock 400-1500 n cu.m/cu.m, and hydrogen pressure 3 MPa. In petroleum processing. The novel method enables processing of feedstock with a wide fraction composition and increased service cycle of catalyst."	""
"63"	"63"	"Patent Document 0002235591.zip"	""	""	""
"64"	"64"	"Patent Document 0002235754.zip"	""	""	""
"65"	"65"	"Patent Document 0002235755.zip"	""	""	""
"66"	"66"	"Patent Document 0002238299.zip"	""	""	""
"67"	"67"	"Patent Document 0002247140.zip"	"Diesel fuel production used in petroleum processing and petrochemistry are subjected to hydrofining a catalyst at elevated temperature and pressure followed by compounding of hydrofined fractions DIESEL FUEL PRODUCE PETROL PROCESS PETROCHEMICAL SUBJECT HYDROFINING CATALYST ELEVATE TEMPERATURE PRESSURE FOLLOW COMPOUND FRACTION Diesel fuel production used in petroleum processing and petrochemistry are subjected to hydrofining a catalyst at elevated temperature and pressure followed by compounding of hydrofined fractions"	"Light and heavy gas oil fractions are subjected to hydrofining on an aluminonickel-aluminocobalt-molybdenum catalyst at elevated temperature (340-360degreesC) and a pressure of 4 MPa followed by compounding of hydrofined fractions at a ratio (1-1.7):1. Hydrofining of the light gas oil fraction is carried out in one step at a raw material volume flow rate of 5-7 h-1 and hydrofining of the heavy gas oil fraction is carried out in two steps at a raw material volume flow rate 1-1.5 h-1. The light fraction has a dry point not higher than 300degreesC and that of the heavy fraction is not below 300degreesC. Used in petroleum processing and petrochemistry. The process uses simplified technology and has increased productivity. Light and heavy gas oil fractions are subjected to hydrofining on an aluminonickel-aluminocobalt-molybdenum catalyst at elevated temperature (340-360°C) and a pressure of 4 MPa followed by compounding of hydrofined fractions at a ratio (1-1.7):1. Hydrofining of the light gas oil fraction is carried out in one step at a raw material volume flow rate of 5-7 h  -1  and hydrofining of the heavy gas oil fraction is carried out in two steps at a raw material volume flow rate 1-1.5 h  -1 . The light fraction has a dry point not higher than 300°C and that of the heavy fraction is not below 300°C. Used in petroleum processing and petrochemistry. The process uses simplified technology and has increased productivity."	""
"68"	"68"	"Patent Document 0002252243.zip"	"Method of production of diesel fuel with improved ecological performances METHOD PRODUCE DIESEL FUEL IMPROVE ECOLOGICAL PERFORMANCE Method of production of diesel fuel with improved ecological performances"	"The invention is pertaining to the field of petroleum refining industry, in particular, to the methods of production of an ecologically pure diesel fuel. Substance: carry out hydraulic purification of a mixture of a virgin diesel fraction and distillate of carbonization and a catalytic cracking. The layers of the catalysts are located in the following way. The first on a course of traffic of a gas-raw material stream protective layer of wide-porous low-percentage Ni-Co-Mo/Al2O3 catalyst is made in the form of the hollow cylinders. The second layer - the catalyst with a diameter of granules of 4.5-5.0 mm. The third - the basic catalyst made in the form of granules with a diameter of 2.0-2.8 mm. The basic catalyst has a surface of 250-290 m2 /g, a pore volume - 0.45-0.6 cm3 / g, in which - no less than 80 % of poremetric volume is formed by the through internal pores predominary of a cylindrical shape with a diameter of 4.0-14.0 nanometers. The last layer on a course of raw material traffic layer is organized analogously to the second layer. Loading of 2-4 layers is performed by a method of a tight packing. The technical result - production of the diesel fuel with improved ecological performances and with a share of sulfur less than 350 ppm from the mixture of the virgin run fraction and distillates of a carbonization and a catalytic cracking containing up to 1.3 % mass of sulfur, at a low hardness of the process and a long time interrecovery cycle. Petroleum refining industry. The invention ensures production of the diesel fuel with improved ecological performances and with a share of sulfur less than 350 ppm.7 cl, 2 tbl, 2 ex The invention is pertaining to the field of petroleum refining industry, in particular, to the methods of production of an ecologically pure diesel fuel. Substance: carry out hydraulic purification of a mixture of a virgin diesel fraction and distillate of carbonization and a catalytic cracking. The layers of the catalysts are located in the following way. The first on a course of traffic of a gas-raw material stream protective layer of wide-porous low-percentage Ni-Co-Mo/Al2O3 catalyst is made in the form of the hollow cylinders. The second layer - the catalyst with a diameter of granules of 4.5-5.0 mm. The third - the basic catalyst made in the form of granules with a diameter of 2.0-2.8 mm. The basic catalyst has a surface of 250-290 m2 /g, a pore volume - 0.45-0.6 cm3 / g, in which - no less than 80 % of poremetric volume is formed by the through internal pores predominary of a cylindrical shape with a diameter of 4.0-14.0 nanometers. The last layer on a course of raw material traffic layer is organized analogously to the second layer. Loading of 2-4 layers is performed by a method of a tight packing. The technical result - production of the diesel fuel with improved ecological performances and with a share of sulfur less than 350 ppm from the mixture of the virgin run fraction and distillates of a carbonization and a catalytic cracking containing up to 1.3 % mass of sulfur, at a low hardness of the process and a long time interrecovery cycle. Petroleum refining industry. The invention ensures production of the diesel fuel with improved ecological performances and with a share of sulfur less than 350 ppm.7 cl, 2 tbl, 2 ex"	""
"69"	"69"	"Patent Document 0002293757.zip"	"Diesel distillate hydrofining process involves filtering, hydrofining in presence of catalyst present in form of contact bed with alumina-supported molybdenum oxide and alumino-nickel-molybdenum at specific pressure and temperature DIESEL DISTIL HYDROFINING PROCESS FILTER PRESENCE CATALYST PRESENT FORM CONTACT BED ALUMINA SUPPORT MOLYBDENUM OXIDE ALUMINO NICKEL SPECIFIC PRESSURE TEMPERATURE Diesel distillate hydrofining process involves filtering, hydrofining in presence of catalyst present in form of contact bed with alumina-supported molybdenum oxide and alumino-nickel-molybdenum at specific pressure and temperature"	"Diesel distillates are passed through \"filtering\" bed composed by ceramic ball bed, which occupies 0.2 to 5.0% of reaction space. Feed is then subjected (i) to hydrofining in presence of catalyst present in the form of contact bed containing alumina-supported molybdenum oxide (2-10%) occupying 0.5 to 10% of reaction space and (ii) to hydrogenation in presence of alumino-nickel-molybdenum and/or alumino-cobalt-molybdenum catalyst. Process is conducted at 340-400 C, pressure 4-10 MPa, volumetric feed supply rate 0.5-3.0 h-1, and hydrogen-containing gas-to-feed volume ratio 400-1200. Invention allows level of sulfur to be lowered to 0.005 wt % or below with amount of polycyclic aromatics being below 11 wt %. Petroleum processing. Simplified technology and improved quality of product containing negligible quantities of sulfur. Diesel distillates are passed through \"filtering\" bed composed by ceramic ball bed, which occupies 0.2 to 5.0% of reaction space. Feed is then subjected (i) to hydrofining in presence of catalyst present in the form of contact bed containing alumina-supported molybdenum oxide (2-10%) occupying 0.5 to 10% of reaction space and (ii) to hydrogenation in presence of alumino-nickel-molybdenum and/or alumino-cobalt-molybdenum catalyst. Process is conducted at 340-400 C, pressure 4-10 MPa, volumetric feed supply rate 0.5-3.0 h-1, and hydrogen-containing gas-to-feed volume ratio 400-1200. Invention allows level of sulfur to be lowered to 0.005 wt % or below with amount of polycyclic aromatics being below 11 wt %. Petroleum processing. Simplified technology and improved quality of product containing negligible quantities of sulfur."	""
"70"	"70"	"Patent Document 0002301703.zip"	"Catalyst for oil stock hydrotreatment used in petroleum processing, contains alumina-supported hydrogenation components cobalt, molybdenum, and tungsten, aluminum fluoride and promoter silicon oxide and/or rare earth element oxides CATALYST OIL STOCK HYDROTREATING PETROL PROCESS CONTAIN ALUMINA SUPPORT HYDROGENATION COMPONENT COBALT MOLYBDENUM TUNGSTEN ALUMINIUM FLUORIDE PROMOTE SILICON OXIDE RARE EARTH ELEMENT Catalyst for oil stock hydrotreatment used in petroleum processing, contains alumina-supported hydrogenation components cobalt, molybdenum, and tungsten, aluminum fluoride and promoter silicon oxide and/or rare earth element oxides"	"An oil stock hydrotreatment catalyst contains alumina-supported hydrogenation components: cobalt, molybdenum, and tungsten in the form of oxides at a weight ratio Co/Mo/W of 20:45:35 (15-25% in total), aluminum fluoride (10-30%), and promoter (2.5-16.5%): silicon oxide and/or rare earth element oxides, in particular lanthanum oxide or lanthanum/cerium oxide mixture. The promoter may further contain up to 3% zirconium oxide. Alumina functions as a binding material. Oil stock hydrotreatment is conducted in presence of the catalyst at 340-430degreesC, 3-10 MPa, an oil stock flow rate 0.5-3 h-1, and a hydrogen-to-oil stock ratio 250 to 1000 nm3/m3. The catalyst offers elevated hydrocracking and hydro-desulfurization activity and selectivity in oil stock hydrotreatment processes resulting in the production of diesel distillates meeting European requirements (EN-590). The catalyst can be prepared using any existing catalyst preparation equipment. Used in petroleum processing. The catalyst is prepared using simplified catalyst preparation technology and avoids the formation of effluents. An oil stock hydrotreatment catalyst contains alumina-supported hydrogenation components: cobalt, molybdenum, and tungsten in the form of oxides at a weight ratio Co/Mo/W of 20:45:35 (15-25% in total), aluminum fluoride (10-30%), and promoter (2.5-16.5%): silicon oxide and/or rare earth element oxides, in particular lanthanum oxide or lanthanum/cerium oxide mixture. The promoter may further contain up to 3% zirconium oxide. Alumina functions as a binding material. Oil stock hydrotreatment is conducted in presence of the catalyst at 340-430°C, 3-10 MPa, an oil stock flow rate 0.5-3 h   -1 	, and a hydrogen-to-oil stock ratio 250 to 1000 nm   3 	/m   3 	. The catalyst offers elevated hydrocracking and hydro-desulfurization activity and selectivity in oil stock hydrotreatment processes resulting in the production of diesel distillates meeting European requirements (EN-590). The catalyst can be prepared using any existing catalyst preparation equipment. Used in petroleum processing. The catalyst is prepared using simplified catalyst preparation technology and avoids the formation of effluents."	""
"71"	"71"	"Patent Document 0002302448.zip"	""	""	""
